Student Assign-01 Assign-02 Assign-03 Assign-05 Assign-05 
Leo 83.8290988330646 72.00555539002356 76.57452785032409 90.26908447908122 74.95952855503917 
Melissa 80.51320653105245 65.96400881673691 75.12747651341347 67.69359553621808 83.90110307246673 
Angel 85.79382293360436 70.77760515922898 71.23257189557175 81.40385558277708 64.9595536457991 
Ferdaws 69.76728623827886 63.74334567509594 80.04210344326968 78.80429720313003 69.9746691388505 
Cali 73.99625479308432 64.86419601802146 80.29234701714566 44.61165259136695 74.33168138413103 
Mitchell 86.75503898896436 68.28915661694535 66.75201023336612 72.55324699102037 76.74244522954272 
Ola 69.61685675072202 68.72005327589193 78.92843015127812 84.27409977229675 88.76940685782284 
Ze 65.71244177874041 67.5351268593693 60.38812914554283 90.51655992430938 74.43958697019508 
Alvin 87.79757686138511 76.04152145259096 80.6994814137052 61.49653303900542 79.98525688442572 
Cassandra 63.02600976158604 85.65757006875768 86.9452738744749 76.93133569949354 77.48373424112846 
Nicole 63.01025181986876 79.70792368591185 95.49796106855725 80.33933794616469 100.31001293648447 
Maria 66.04790039313582 58.886326817073176 50.76891207241235 64.48558389814912 58.60663988777575 
Patricia 77.56256995928646 81.88075826256673 74.12119033074516 64.05123521084398 90.85237591215807 
Fady 87.44531318470356 82.3247261820468 68.62032770729219 93.68746181649313 79.71526378965413 
Mohammed 76.65695598061025 62.82432931024439 92.00874521294617 69.85867621090821 74.62545421450115 
